Template_ID,layer_name,kind,field
tpl_ig_4x5,txt/headline,text,Title
tpl_ig_4x5,txt/sub,text,Copy
tpl_ig_4x5,txt/copy_zh,text,Copy_ZH
tpl_ig_4x5,clr/accent,color,color.accent
tpl_ig_4x5,clr/bg,color,color.bg
tpl_ig_4x5,txt/headline,font,font.headline
tpl_ig_4x5,slot/hero,slot,slot.hero
tpl_ig_4x5,slot/bg,slot,slot.bg
tpl_ig_4x5,slot/logo,slot,slot.logo
tpl_ig_1x1,txt/headline,text,Title
tpl_ig_1x1,txt/sub,text,Copy
tpl_ig_1x1,txt/copy_zh,text,Copy_ZH
tpl_ig_1x1,clr/accent,color,color.accent
tpl_ig_1x1,clr/bg,color,color.bg
tpl_ig_1x1,txt/headline,font,font.headline
tpl_ig_1x1,slot/hero,slot,slot.hero
tpl_ig_1x1,slot/bg,slot,slot.bg
tpl_ig_1x1,slot/logo,slot,slot.logo
tpl_story_9x16,txt/headline,text,Title
tpl_story_9x16,clr/accent,color,color.accent
tpl_story_9x16,txt/headline,font,font.headline
tpl_story_9x16,slot/hero,slot,slot.hero
tpl_cover_16x9,txt/headline,text,Title
tpl_cover_16x9,clr/accent,color,color.accent
tpl_cover_16x9,txt/headline,font,font.headline
tpl_cover_16x9,slot/hero,slot,slot.hero
